from_state,to_state
1111100,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1111101,1111111
1101000,1011001
1011001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
0011100,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1001001,1011001
1011001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1110110,1111011
1111011,1111001
1111001,1111101
1111101,1111111
1111111,1111011
1011101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1111101,1111111
1100011,1011011
1011011,1111001
1111001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
0111111,1111011
1111011,1111001
1111001,1111101
1111101,1111111
1111111,1111011
0110101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1111101,1111111
0001001,1011001
1011001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
0000011,1011001
1011001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
0010100,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
0000001,1011001
1011001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
0100110,1101111
1101111,1011011
1011011,1111001
1111001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
0100101,1111011
1111011,1111001
1111001,1111101
1111101,1111111
1111111,1111011
1001100,1011011
1011011,1111001
1111001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
0111010,1011001
1011001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1111110,1111011
1111011,1111001
1111001,1111101
1111101,1111111
1111111,1111011
0111100,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1111101,1111111
0011110,1111001
1111001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
0101000,1011001
1011001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
0000000,1011001
1011001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
0011010,1011001
1011001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1110000,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1111101,1111111
0100000,1011011
1011011,1111001
1111001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
0000111,1111001
1111001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
0111000,1011101
1011101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1111101,1111111
0011001,1011101
1011101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1111101,1111111
0110000,1011111
1011111,1111011
1111011,1111001
1111001,1111101
1111101,1111111
1111111,1111011
1000011,1011001
1011001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
0001000,1011001
1011001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1010011,1111001
1111001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1100100,1111011
1111011,1111001
1111001,1111101
1111101,1111111
1111111,1111011
0111001,1011101
1011101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1111101,1111111
1000010,1011101
1011101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1111101,1111111
1100010,1011111
1011111,1111011
1111011,1111001
1111001,1111101
1111101,1111111
1111111,1111011
1100111,1111011
1111011,1111001
1111001,1111101
1111101,1111111
1111111,1111011
0000101,1111001
1111001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
0000100,1111001
1111001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
0100100,1111011
1111011,1111001
1111001,1111101
1111101,1111111
1111111,1111011
0010000,1011101
1011101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1111101,1111111
1101111,1011011
1011011,1111001
1111001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1111101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
0001111,1011001
1011001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
0101010,1011101
1011101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1111101,1111111
1000110,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1111101,1111111
0110010,1001011
1001011,1011001
1011001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1011100,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1111101,1111111
1011010,1111001
1111001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1011011,1111001
1111001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1011111,1111011
1111011,1111001
1111001,1111101
1111101,1111111
1111111,1111011
0111011,1011001
1011001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1101110,1011111
1011111,1111011
1111011,1111001
1111001,1111101
1111101,1111111
1111111,1111011
1011001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1110100,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1111101,1111111
0101011,1011001
1011001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
1001101,1011011
1011011,1111001
1111001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1000101,1111011
1111011,1111001
1111001,1111101
1111101,1111111
1111111,1111011
1001000,1011001
1011001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
1111001,1111101
0100010,1001111
1001111,1011011
1011011,1111001
1111001,1111101
1111101,1111111
1111111,1111011
1111011,1111001
