from_state,to_state
01100011101110111101011111101011111001110,11001001110100001101010110111100011110110
11001001110100001101010110111100011110110,10000001101000111110000010111110111111100
10000001101000111110000010111110111111100,11001001000010011110100100111110111111110
11001001000010011110100100111110111111110,11000001000000011110100110011110111111110
11000001000000011110100110011110111111110,01000000000000011100000110011110111111110
01000000000000011100000110011110111111110,01000000000000011101000110111110111111110
01000000000000011101000110111110111111110,11000001000000011111000110111110111111110
11000001000000011111000110111110111111110,11000001000000011110000110111110111111110
11000001000000011110000110111110111111110,11000001000000011110100110111110111111110
11000001000000011110100110111110111111110,11000001000000011110100110011110111111110
00111110001010111000110100110110110001001,11011110010110001111101111000001011100111
11011110010110001111101111000001011100111,00010010100000101100010011011101011110100
00010010100000101100010011011101011110100,00001000000001011101000001111100111111100
00001000000001011101000001111100111111100,10000001000010011101000100111110111111110
10000001000010011101000100111110111111110,11000001010100011110001100111110111111110
11000001010100011110001100111110111111110,11000001100000111110110110111110111111110
11000001100000111110110110111110111111110,11001001000000011110100110011110111111110
11001001000000011110100110011110111111110,01000000000000011100000110011110111111110
01000000000000011100000110011110111111110,01000000000000011101000110111110111111110
01000000000000011101000110111110111111110,11000001000000011111000110111110111111110
11000001000000011111000110111110111111110,11000001000000011110000110111110111111110
11000001000000011110000110111110111111110,11000001000000011110100110111110111111110
11000001000000011110100110111110111111110,11000001000000011110100110011110111111110
11000001000000011110100110011110111111110,01000000000000011100000110011110111111110
11011010110010011110010010000110010100100,01000000000010101100000011111100011100100
01000000000010101100000011111100011100100,10001001010100001101100010111110011110100
10001001010100001101100010111110011110100,11000001101001111110000000011110111111100
11000001101001111110000000011110111111100,01001000000010011100000110111110111111111
01001000000010011100000110111110111111111,11010010010100011111100110111111111111110
11010010010100011111100110111111111111110,11000001100000111110000111011100111111110
11000001100000111110000111011100111111110,00001000000000011100000110111110111111110
00001000000000011100000110111110111111110,11000001000000011111101100111110111111110
11000001000000011111101100111110111111110,11000001000000011110010110011110111111110
11000001000000011110010110011110111111110,01000000000000011100000110111110111111110
01000000000000011100000110111110111111110,11000001000000011111100110111110111111110
11000001000000011111100110111110111111110,11000001000000011110000110011110111111110
11000001000000011110000110011110111111110,01000000000000011100000110111110111111110
10001110011001001010110111010111011000100,01000000000010101100001001010000011110000
01000000000010101100001001010000011110000,00001000010100011101010010101100111111101
00001000010100011101010010101100111111101,10010110101011111110000110111111111111110
10010110101011111110000110111111111111110,11001000000000011110101101111100111111110
11001000000000011110101101111100111111110,10000001000000011100110110011110111111110
10000001000000011100110110011110111111110,01000000000000011100001100011110111111110
01000000000000011100001100011110111111110,01000000000000011101010110111110111111110
01000000000000011101010110111110111111110,11000001000000011111000110111110111111110
11000001000000011111000110111110111111110,11000001000000011110000110111110111111110
11000001000000011110000110111110111111110,11000001000000011110100110111110111111110
11000001000000011110100110111110111111110,11000001000000011110100110011110111111110
11000001000000011110100110011110111111110,01000000000000011100000110011110111111110
01000000000000011100000110011110111111110,01000000000000011101000110111110111111110
01000000000000011101000110111110111111110,11000001000000011111000110111110111111110
10101100101111011011111111101111011100001,11010110100010001100011010000001011110100
11010110100010001100011010000001011110100,00000000010100011100010011111100111111100
00000000010100011100010011111100111111100,10000001101011111101100100111110111111110
10000001101011111101100100111110111111110,11001001010101011110001100011110111111111
11001001010101011110001100011110111111111,01010000100000111100010110111111111111110
01010000100000111100010110111111111111110,11001001000000011111100110111100111111110
11001001000000011111100110111100111111110,10000001000000011110000110011110111111110
10000001000000011110000110011110111111110,01000000000000011100001100111110111111110
01000000000000011100001100111110111111110,11000001000000011111110110111110111111110
11000001000000011111110110111110111111110,11000001000000011110000110011110111111110
11000001000000011110000110011110111111110,01000000000000011100000110111110111111110
01000000000000011100000110111110111111110,11000001000000011111100110111110111111110
11000001000000011111100110111110111111110,11000001000000011110000110011110111111110
00100110001000001111111001101100010010000,10000000000010011100010001001110111101001
10000000000010011100010001001110111101001,01010110010110001100000110101111011110111
01010110010110001100000110101111011110111,11010010111100111111100011111101111111100
11010010111100111111100011111101111111100,10001001100010111100000111011100111111110
10001001100010111100000111011100111111110,00001000010101011100001100111110111111110
00001000010101011100001100111110111111110,11000001101001111111111100111110111111110
11000001101001111111111100111110111111110,11001001000000011110010110011110111111111
11001001000000011110010110011110111111111,01010000000000011100000110111111111111110
01010000000000011100000110111111111111110,11000001000000011111100110111100111111110
11000001000000011111100110111100111111110,10000001000000011110000110011110111111110
10000001000000011110000110011110111111110,01000000000000011100001100111110111111110
01000000000000011100001100111110111111110,11000001000000011111110110111110111111110
11000001000000011111110110111110111111110,11000001000000011110000110011110111111110
11000001000000011110000110011110111111110,01000000000000011100000110111110111111110
01000000000000011100000110111110111111110,11000001000000011111100110111110111111110
11000001000000011111100110111110111111110,11000001000000011110000110011110111111110
10001011000010111101001101001011010010100,01001000010110011100011000111100111101001
01001000010110011100011000111100111101001,10010010111110101111110110101111011110111
10010010111110101111110110101111011110111,11011110100000111100001011011101111111100
11011110100000111100001011011101111111100,00001000000010011100010111111100111111110
00001000000010011100010111111100111111110,10000001010100011101101100111110111111110
10000001010100011101101100111110111111110,11000001101001111110011100011110111111110
11000001101001111110011100011110111111110,01001000000000011100010110111110111111111
01001000000000011100010110111110111111111,11010010000000011111100110111111111111110
11010010000000011111100110111111111111110,11000001000000011110000111011100111111110
11000001000000011110000111011100111111110,00000000000000011100000110111110111111110
00000000000000011100000110111110111111110,11000001000000011111101100111110111111110
11000001000000011111101100111110111111110,11000001000000011110010110011110111111110
11000001000000011110010110011110111111110,01000000000000011100000110111110111111110
