from_state,to_state
1000001,1000000
1000000,1000000
0110000,1001010
1001010,1001001
1001001,1000000
1000000,1000000
1101110,1001010
1001010,1001001
1001001,1000000
1000000,1000000
0010101,0110100
0110100,0110010
0110010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
1111000,1101000
1101000,1000000
1000000,1000000
1011000,1100100
1100100,0110010
0110010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
1100111,0100010
0100010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
0110111,0100010
0100010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
0110001,1001010
1001010,1001001
1001001,1000000
1000000,1000000
1100101,0110010
0110010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
0110101,0110010
0110010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
0000111,0100001
0100001,1000010
1000010,1001001
1001001,1000000
1000000,1000000
1000100,0110010
0110010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
0000000,1000000
1000000,1000000
0101000,1010000
1010000,1100100
1100100,0110010
0110010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
1100011,1000010
1000010,1001001
1001001,1000000
1000000,1000000
1010110,0101111
0101111,1010100
1010100,0110110
0110110,0101010
0101010,1011000
1011000,1100100
1100100,0110010
0110010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
1101100,1010010
1010010,1101101
1101101,1010010
1100110,0101010
0101010,1011000
1011000,1100100
1100100,0110010
0110010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
0100010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
1110010,1101010
1101010,1001000
1001000,1000000
1000000,1000000
0101010,1011000
1011000,1100100
1100100,0110010
0110010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
1111010,1101000
1101000,1000000
1000000,1000000
1010011,1100101
1100101,0110010
0110010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
1100001,1000010
1000010,1001001
1001001,1000000
1000000,1000000
1010101,0110110
0110110,0101010
0101010,1011000
1011000,1100100
1100100,0110010
0110010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
1011010,1101101
1101101,1010010
1010010,1101101
0000011,1000001
1000001,1000000
1000000,1000000
0011000,1010100
1010100,0110110
0110110,0101010
0101010,1011000
1011000,1100100
1100100,0110010
0110010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
1100000,1000010
1000010,1001001
1001001,1000000
1000000,1000000
0010000,1000100
1000100,0110010
0110010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
1011111,0100111
0100111,0100010
0100010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
0101111,1010100
1010100,0110110
0110110,0101010
0101010,1011000
1011000,1100100
1100100,0110010
0110010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
1011110,0101111
0101111,1010100
1010100,0110110
0110110,0101010
0101010,1011000
1011000,1100100
1100100,0110010
0110010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
1010001,1100100
1100100,0110010
0110010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
0001101,0010000
0010000,1000100
1000100,0110010
0110010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
1000101,0110010
0110010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
1110111,0100010
0100010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
1110001,1101010
1101010,1001000
1001000,1000000
1000000,1000000
1111110,0101010
0101010,1011000
1011000,1100100
1100100,0110010
0110010,1001010
1001010,1001001
1001001,1000000
1000000,1000000
0111101,0010000
0010000,1000100
1000100,0110010
0110010,1001010
